car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,engine_in_cc,Seats,manufacture,company_name
Swift VXI BSIV,570000,25000,Petrol,Manual,1st Owner,1197,5,2019,Maruti
Ecosport Sports Diesel,1100000,20000,Diesel,Manual,1st Owner,1498,5,2021,Ford
XF 2.2 Litre Luxury,1800000,70000,Diesel,Automatic,2nd Owner,2179,5,2014,Jaguar
Indica TDI LX,100000,35000,Diesel,Manual,3rd Owner,1405,5,2013,Tata
Fortuner 4X4 Diesel AT,4350000,26629,Diesel,Automatic,1st Owner,2755,7,2021,Toyota
C-Class Progressive C 220d,4650000,20000,Diesel,Automatic,1st Owner,1950,5,2019,Mercedes-Benz
GLC Progressive 220d,5395000,33000,Diesel,Automatic,1st Owner,2143,5,2019,Mercedes-Benz
3 Series Gran Limousine 330Li M Sport First Edition,6175000,25000,Petrol,Automatic,1st Owner,1998,5,2021,BMW
Q3 30 TDI,2795000,55291,Diesel,Manual,1st Owner,1968,5,2017,Audi
C-Class C 220 CDI Avantgarde,1650000,58500,Diesel,Automatic,1st Owner,2143,5,2013,Mercedes-Benz
Q7 45 TDI Quattro Technology,7250000,15000,Diesel,Automatic,1st Owner,2967,7,2018,Audi
Duster 85PS Diesel RxL Option,650000,90000,Diesel,Manual,1st Owner,1461,5,2014,Renault
Q3 35 TDI Quattro Premium,1300000,64000,Diesel,Automatic,2nd Owner,1968,5,2012,Audi
Zen LXI,400000,132596,Petrol,Manual,2nd Owner,993,5,2004,Maruti
Swift VXI BSIII,154000,99673,Petrol,Manual,3rd Owner,1298,5,2008,Maruti
Nexon EV Prime XZ Plus LUX,418000,24374,Electric,Automatic,1st Owner,0,5,2021,Tata
